date,Iao_50m_0.1,Iao_50m_0.15,Iao_50m_0.2
2016-09-13 00:00:00,0.0,0.0,0.0
2016-09-13 00:30:00,0.0,0.0,0.0
2016-09-13 01:00:00,0.0,0.0,0.0
2016-09-13 01:30:00,0.0,0.0,0.0
2016-09-13 02:00:00,0.0,0.0,0.0
2016-09-13 02:30:00,0.0,0.0,0.0
2016-09-13 03:00:00,0.0,0.0,0.0
2016-09-13 03:30:00,0.0,0.0,0.0
2016-09-13 04:00:00,0.0,0.0,0.0
2016-09-13 04:30:00,0.0,0.0,0.0
2016-09-13 05:00:00,0.0,0.0,0.0
2016-09-13 05:30:00,0.0,0.0,0.0
2016-09-13 06:00:00,0.0,0.0,0.0
2016-09-13 06:30:00,0.0,0.0,0.0
2016-09-13 07:00:00,0.0,0.0,0.0
2016-09-13 07:30:00,0.0,0.0,0.0
2016-09-13 08:00:00,0.0,0.0,0.0
2016-09-13 08:30:00,0.0,0.0,0.0
2016-09-13 09:00:00,0.0,0.0,0.0
2016-09-13 09:30:00,0.0,0.0,0.0
2016-09-13 10:00:00,0.0,0.0,0.0
2016-09-13 10:30:00,0.0,0.0,0.0
2016-09-13 11:00:00,0.0,0.0,0.0
2016-09-13 11:30:00,0.0,0.0,0.0
2016-09-13 12:00:00,0.0,0.0,0.0
2016-09-13 12:30:00,0.0,0.0,0.0
2016-09-13 13:00:00,0.0,0.0,0.0
2016-09-13 13:30:00,0.0,0.0,0.0
2016-09-13 14:00:00,0.0,0.0,0.0
2016-09-13 14:30:00,0.0,0.0,0.0
2016-09-13 15:00:00,0.0,0.0,0.0
2016-09-13 15:30:00,0.0,0.0,0.0
2016-09-13 16:00:00,0.0,0.0,0.0
2016-09-13 16:30:00,0.0,0.0,0.0
2016-09-13 17:00:00,0.0,0.0,0.0
2016-09-13 17:30:00,0.0,0.0,0.0
2016-09-13 18:00:00,0.0,0.0,0.0
2016-09-13 18:30:00,0.0,0.0,0.0
2016-09-13 19:00:00,0.0,0.0,0.001
2016-09-13 19:30:00,0.0,0.003,0.034
2016-09-13 20:00:00,0.0,0.015,0.254
2016-09-13 20:30:00,0.0,0.003,1.622
2016-09-13 21:00:00,0.0,0.0,9.845
2016-09-13 21:30:00,0.0,0.0,22.903
2016-09-13 22:00:00,0.0,0.0,24.985
2016-09-13 22:30:00,0.0,0.0,23.037
2016-09-13 23:00:00,0.0,0.0,22.516
2016-09-13 23:30:00,0.0,0.0,25.703
2016-09-14 00:00:00,0.0,0.0,31.38
2016-09-14 00:30:00,0.0,0.0,34.81
2016-09-14 01:00:00,0.0,0.0,33.504
